,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
1114,2753,Lastline,San Francisco Bay Area,USA,North America,50,2020-06-04,40.0,125,75,Security,Series C,$52,2020,37.77493,-122.41942,52.0
1115,2754,Builder,Los Angeles,USA,North America,39,2020-06-04,14.0,279,240,Product,Series A,$29,2020,34.05223,-118.24368,29.0
1116,2756,Monzo,London,United Kingdom,Europe,120,2020-06-03,8.0,1500,1380,Finance,Series F,$324,2020,51.50853,-0.12574,324.0
1117,2758,SpotHero,Chicago,USA,North America,40,2020-06-03,21.0,190,150,Transportation,Series D,$117,2020,41.85003,-87.65005,117.0
1118,2759,Credit Sesame,San Francisco Bay Area,USA,North America,22,2020-06-03,14.0,157,135,Finance,Series F,$120,2020,37.38605,-122.08385,120.0
1119,2761,Rivian,Detroit,USA,North America,40,2020-06-02,2.0,2000,1960,Transportation,Private Equity …,$3100,2020,42.33143,-83.04575,3100.0
1120,2762,Fundbox,San Francisco Bay Area,USA,North America,14,2020-06-02,15.0,93,79,Finance,Series C,$453,2020,37.77493,-122.41942,453.0
1121,2763,Descartes Labs,Santa Fe,USA,North America,12,2020-06-02,16.0,75,63,Data,Series B,$58,2020,33.94724,-118.08535,58.0
1122,2765,Stitch Fix,San Francisco Bay Area,USA,North America,1400,2020-06-01,18.0,7778,6378,Retail,Post-IPO,$79,2020,37.77493,-122.41942,79.0
1123,2766,MakeMyTrip,Gurugram,India,Asia,350,2020-06-01,10.0,3500,3150,Travel,Post-IPO,$548,2020,28.4601,77.02635,548.0
1124,2767,CrowdStreet,Portland,USA,North America,24,2020-06-01,22.0,109,85,Real Estate,Series C,$24,2020,45.52345,-122.67621,24.0
1125,2768,Brex,San Francisco Bay Area,USA,North America,62,2020-05-29,15.0,413,351,Finance,Series C,$732,2020,37.77493,-122.41942,732.0
1126,2769,Loftium,Seattle,USA,North America,32,2020-05-29,60.0,53,21,Real Estate,Series A,$17,2020,47.60621,-122.33207,17.0
1127,2770,BookMyShow,Mumbai,India,Asia,270,2020-05-28,18.0,1500,1230,Consumer,Unknown,$224,2020,19.07283,72.88261,224.0
1128,2771,TrueCar,Los Angeles,USA,North America,219,2020-05-28,30.0,730,511,Transportation,Post-IPO,$340,2020,34.05223,-118.24368,340.0
1129,2773,Culture Amp,Melbourne,Australia,Australia,36,2020-05-28,8.0,450,414,HR,Series E,$157,2020,-37.814,144.96332,157.0
1130,2774,The Sill,New York City,USA,North America,20,2020-05-28,25.0,80,60,Retail,Series A,$7,2020,40.71427,-74.00597,7.0
1131,2775,Instructure,Salt Lake City,USA,North America,150,2020-05-27,12.0,1250,1100,Education,Acquired,$89,2020,40.76078,-111.89105,89.0
1132,2776,Ebanx,Curitiba,Brazil,South America,62,2020-05-27,8.0,775,713,Finance,Unknown,$30,2020,-25.42778,-49.27306,30.0
1133,2777,Uber,Bengaluru,India,Asia,600,2020-05-26,23.0,2609,2009,Transportation,Post-IPO,$24700,2020,12.97194,77.59369,24700.0
1134,2778,Bluprint,Denver,USA,North America,137,2020-05-26,100.0,137,0,Education,Acquired,$108,2020,39.73915,-104.9847,108.0
1135,2782,Cvent,Washington DC,USA,North America,400,2020-05-21,10.0,4000,3600,Marketing,Acquired,$146,2020,38.89511,-77.03637,146.0
1136,2783,PickYourTrail,Chennai,India,Asia,70,2020-05-21,35.0,200,130,Travel,Series A,$3,2020,13.08784,80.27847,3.0
1137,2784,Glitch,New York City,USA,North America,18,2020-05-21,36.0,50,32,Product,Series A,$30,2020,40.71427,-74.00597,30.0
1138,2786,Ola,Bengaluru,India,Asia,1400,2020-05-20,35.0,4000,2600,Transportation,Series J,$3800,2020,12.97194,77.59369,3800.0
1139,2787,Samsara,San Francisco Bay Area,USA,North America,300,2020-05-20,18.0,1667,1367,Logistics,Series F,$530,2020,37.77493,-122.41942,530.0
